iter	MultiClass
0	1.318897381
1	1.265549129
2	1.216539869
3	1.178337368
4	1.141904908
5	1.114627679
6	1.090645332
7	1.065888863
8	1.044126947
9	1.025769093
10	1.00812439
11	0.9917398372
12	0.9779252177
13	0.9651711182
14	0.9535780486
15	0.9442254246
16	0.9333086729
17	0.9239966726
18	0.915287546
19	0.905479094
20	0.8978668663
21	0.8906466765
22	0.8845934749
23	0.8779066875
24	0.8713872356
25	0.8647161698
26	0.8574665024
27	0.8515203397
28	0.8454809227
29	0.8411487627
30	0.8367460975
31	0.8313221251
32	0.8266298648
33	0.8228677848
34	0.8191959364
35	0.8147578147
36	0.8109208771
37	0.8079999188
38	0.8046276618
39	0.8007829787
40	0.7968483156
41	0.793358948
42	0.7894253943
43	0.7855749012
44	0.7822167823
45	0.7798862464
46	0.777393527
47	0.7735923931
48	0.7695491001
49	0.767603855
50	0.765510433
51	0.7617325134
52	0.7598526175
53	0.7570881825
54	0.7551636249
55	0.7517826799
56	0.7486093662
57	0.7458682486
58	0.7438422646
59	0.7411531807
60	0.7382148587
61	0.7354230914
62	0.734069347
63	0.7311106883
64	0.7289161595
65	0.7267280249
66	0.7244971446
67	0.7211223918
68	0.7198561474
69	0.7175941069
70	0.7150422675
71	0.7118964594
72	0.7089517289
73	0.7064122027
74	0.7051265423
75	0.7024409249
76	0.7009075706
77	0.6990346036
78	0.6958190287
79	0.6935286313
80	0.6910972607
81	0.6896245412
82	0.6874917776
83	0.685318559
84	0.682472477
85	0.6802493577
86	0.6779455693
87	0.675320958
88	0.6736315685
89	0.670993524
90	0.6684445933
91	0.6659197462
92	0.6635786329
93	0.661884839
94	0.6595466147
95	0.6574970062
96	0.6548614201
97	0.6530644141
98	0.6513524129
99	0.6498624904
100	0.6482717161
101	0.6458527789
102	0.6439676087
103	0.641842999
104	0.6401447579
105	0.6380544439
106	0.6352142253
107	0.6333858396
108	0.6314683662
109	0.6298629543
110	0.6279821113
111	0.6258563807
112	0.6235791531
113	0.6218169382
114	0.6199233321
115	0.6179127068
116	0.6157596451
117	0.6129188122
118	0.6104159875
119	0.6088956908
120	0.6066435321
121	0.6056924234
122	0.6035598097
123	0.6013581787
124	0.5992355605
125	0.5974595516
126	0.5958727882
127	0.5930288615
128	0.5903853141
129	0.5881402629
130	0.5859054687
131	0.5837692021
132	0.5822961715
133	0.5806486027
134	0.5790456985
135	0.576387941
136	0.5745264818
