iter	Passed	Remaining
0	190	190414
1	235	117354
2	275	91602
3	342	85204
4	380	75742
5	420	69727
6	466	66132
7	510	63353
8	556	61234
9	595	58907
10	637	57350
11	678	55825
12	722	54819
13	763	53777
14	802	52696
15	847	52113
16	909	52582
17	952	51957
18	1000	51665
19	1045	51235
20	1092	50919
21	1136	50505
22	1188	50503
23	1246	50695
24	1316	51354
25	1382	51786
26	1432	51610
27	1484	51547
28	1540	51579
29	1598	51682
30	1646	51469
31	1702	51515
32	1749	51264
33	1791	50911
34	1834	50570
35	1877	50285
36	1937	50419
37	1993	50456
38	2048	50486
39	2103	50482
40	2154	50398
41	2199	50160
42	2259	50289
43	2309	50174
44	2360	50088
45	2403	49847
46	2444	49571
47	2497	49540
48	2545	49405
49	2591	49237
50	2637	49084
51	2685	48951
52	2728	48746
53	2772	48565
54	2814	48351
55	2998	50538
56	3079	50942
57	3130	50841
58	3180	50727
59	3230	50603
60	3280	50495
61	3328	50354
62	3375	50209
63	3428	50149
64	3475	49987
65	3518	49789
66	3565	49653
67	3610	49486
68	3652	49283
69	3698	49140
70	3745	49003
71	3793	48898
72	3839	48759
73	3896	48757
74	3944	48652
75	3991	48531
76	4034	48361
77	4077	48195
78	4123	48074
79	4165	47907
80	4221	47893
81	4293	48069
82	4351	48073
83	4408	48078
84	4463	48044
85	4519	48027
86	4567	47935
87	4618	47869
88	4663	47733
89	4721	47743
90	4771	47663
91	4821	47587
92	4870	47496
93	4919	47414
94	4963	47280
95	5010	47183
96	5055	47066
97	5103	46975
98	5146	46842
99	5197	46777
100	5243	46671
101	5291	46585
102	5334	46458
103	5381	46363
104	5421	46214
105	5464	46084
106	5509	45982
107	5552	45863
108	5602	45800
109	5644	45668
110	5692	45590
111	5736	45483
112	5784	45403
113	5832	45326
114	5872	45193
115	5919	45110
116	5961	44990
117	6006	44895
118	6054	44820
119	6097	44712
120	6141	44616
121	6183	44503
122	6232	44435
123	6270	44295
124	6313	44194
125	6351	44060
126	6390	43930
127	6435	43838
128	6479	43746
129	6523	43657
130	6564	43545
131	6607	43451
132	6648	43342
133	6688	43222
134	6732	43138
135	6772	43023
136	6817	42943
137	6862	42864
138	6907	42788
139	6955	42724
140	6995	42617
141	7034	42505
142	7079	42427
143	7120	42324
144	7167	42261
145	7214	42199
146	7254	42097
147	7302	42040
148	7345	41952
149	7390	41879
150	7434	41799
151	7480	41733
152	7522	41641
153	7567	41573
154	7613	41505
155	7655	41418
156	7707	41383
157	7750	41303
158	7799	41255
159	7840	41162
160	7888	41108
161	7932	41033
162	7978	40969
163	8020	40882
164	8065	40818
165	8115	40772
166	8156	40685
167	8204	40630
168	8250	40567
